playerID,focusTime1,focusEnvTime1,focusPeoTime1,jumpCount1,EnvPeo1,PeoEnv1,PeoUI1,UIPeo1,focusTime2,focusEnvTime2,focusPeoTime2,jumpCount2,EnvPeo2,PeoEnv2,PeoUI2,UIPeo2,focusTime3,focusEnvTime3,focusPeoTime3,jumpCount3,EnvPeo3,PeoEnv3,PeoUI3,UIPeo3,focusTime4,focusEnvTime4,focusPeoTime4,jumpCount4,EnvPeo4,PeoEnv4,PeoUI4,UIPeo4,focusTime5,focusEnvTime5,focusPeoTime5,jumpCount5,EnvPeo5,PeoEnv5,PeoUI5,UIPeo5,focusTime6,focusEnvTime6,focusPeoTime6,jumpCount6,EnvPeo6,PeoEnv6,PeoUI6,UIPeo6
A01,420,1.0,0.0,0,0,0,0,0,1589,1.0,0.0,0,0,0,0,0,3831,0.833463847559384,0.16653615244061604,416,0.42548,0.42308,0.07692,0.07452,3861,0.9883449883449883,0.011655011655011656,16,0.4375,0.4375,0.0625,0.0625,1097,0.9690063810391978,0.03099361896080219,26,0.30769,0.34615,0.15385,0.19231,283,1.0,0.0,0,0,0,0,0
A02,237,1.0,0.0,0,0,0,0,0,1221,1.0,0.0,0,0,0,0,0,3324,0.8158844765342961,0.18411552346570398,188,0.45213,0.39894,0.10106,0.04787,2662,0.9530428249436514,0.04695717505634861,20,0.5,0.45,0.05,0.0,628,0.9617834394904459,0.03821656050955414,8,0.5,0.5,0.0,0.0,225,1.0,0.0,0,0,0,0,0
A04,161,1.0,0.0,0,0,0,0,0,880,1.0,0.0,0,0,0,0,0,3576,0.799496644295302,0.200503355704698,234,0.42308,0.40171,0.09829,0.07692,2047,0.8768930141670738,0.12310698583292623,44,0.5,0.45455,0.04545,0.0,629,1.0,0.0,0,0.0,0.0,0.0,0.0,226,1.0,0.0,0,0,0,0,0
A05,135,1.0,0.0,0,0,0,0,0,1582,1.0,0.0,0,0,0,0,0,3904,0.7710040983606558,0.22899590163934427,262,0.46183,0.4084,0.0916,0.03817,2293,0.9180113388573921,0.08198866114260794,26,0.46154,0.42308,0.07692,0.03846,825,0.9769696969696969,0.02303030303030303,18,0.5,0.44444,0.05556,0.0,208,1.0,0.0,0,0,0,0,0
A06,517,1.0,0.0,0,0,0,0,0,1614,1.0,0.0,0,0,0,0,0,4006,0.7978032950574139,0.20219670494258613,248,0.43952,0.42742,0.07258,0.06048,2939,0.9751616195985029,0.024838380401497107,22,0.5,0.5,0.0,0.0,768,0.9791666666666666,0.020833333333333332,8,0.5,0.375,0.125,0.0,211,1.0,0.0,0,0,0,0,0
A07,678,1.0,0.0,0,0,0,0,0,1319,1.0,0.0,0,0,0,0,0,4452,0.7675202156334232,0.23247978436657682,320,0.47187,0.43438,0.06563,0.02813,3137,0.9279566464775263,0.07204335352247371,26,0.5,0.38462,0.11538,0.0,1204,0.9543189368770764,0.04568106312292359,30,0.36667,0.43333,0.06667,0.13333,256,1.0,0.0,0,0,0,0,0
A09,390,1.0,0.0,0,0,0,0,0,1581,1.0,0.0,0,0,0,0,0,5187,0.8334297281665702,0.16657027183342973,330,0.46364,0.41818,0.08182,0.03636,3648,0.9769736842105263,0.023026315789473683,18,0.44444,0.33333,0.16667,0.05556,1290,0.8627906976744186,0.1372093023255814,52,0.46154,0.48077,0.01923,0.03846,274,1.0,0.0,0,0,0,0,0
A10,362,1.0,0.0,0,0,0,0,0,1526,1.0,0.0,0,0,0,0,0,4712,0.7079796264855688,0.2920203735144312,402,0.41294,0.40547,0.09453,0.08706,3400,0.9729411764705882,0.027058823529411764,16,0.4375,0.375,0.125,0.0625,845,0.8733727810650888,0.12662721893491125,36,0.41667,0.44444,0.05556,0.08333,256,1.0,0.0,0,0,0,0,0
A11,370,1.0,0.0,0,0,0,0,0,1224,1.0,0.0,0,0,0,0,0,3720,0.8075268817204301,0.1924731182795699,214,0.41121,0.3972,0.1028,0.08879,2495,0.9791583166332666,0.020841683366733466,12,0.5,0.41667,0.08333,0.0,748,0.9919786096256684,0.008021390374331552,4,0.5,0.5,0.0,0.0,242,1.0,0.0,0,0,0,0,0
A12,444,1.0,0.0,0,0,0,0,0,1373,1.0,0.0,0,0,0,0,0,4429,0.7067058026642583,0.2932941973357417,364,0.42033,0.41209,0.08791,0.07967,4087,0.9466601419133839,0.0533398580866161,46,0.45652,0.45652,0.04348,0.04348,1611,0.946617008069522,0.05338299193047796,22,0.5,0.5,0.0,0.0,209,1.0,0.0,0,0,0,0,0
A13,432,1.0,0.0,0,0,0,0,0,1507,1.0,0.0,0,0,0,0,0,3733,0.8706134476292526,0.1293865523707474,204,0.45588,0.43137,0.06863,0.04412,2682,0.9865771812080537,0.013422818791946308,14,0.5,0.35714,0.14286,0.0,791,0.93173198482933,0.06826801517067003,22,0.45455,0.40909,0.09091,0.04545,227,1.0,0.0,0,0,0,0,0
A16,459,1.0,0.0,0,0,0,0,0,1399,1.0,0.0,0,0,0,0,0,4827,0.7571990884607417,0.24280091153925834,334,0.46407,0.44012,0.05988,0.03593,3069,0.9309221244705116,0.06907787552948844,58,0.5,0.5,0.0,0.0,749,0.9853137516688919,0.014686248331108143,12,0.5,0.41667,0.08333,0.0,222,1.0,0.0,0,0,0,0,0
A17,601,1.0,0.0,0,0,0,0,0,1479,1.0,0.0,0,0,0,0,0,4230,0.8470449172576832,0.15295508274231678,157,0.44586,0.43312,0.06369,0.05732,3469,0.9351398097434419,0.06486019025655809,32,0.46875,0.4375,0.0625,0.03125,1278,0.9327073552425665,0.06729264475743349,20,0.25,0.3,0.2,0.25,286,1.0,0.0,0,0,0,0,0
A20,308,1.0,0.0,0,0,0,0,0,1581,1.0,0.0,0,0,0,0,0,4681,0.924588763084811,0.07541123691518906,192,0.4375,0.42188,0.07812,0.0625,2985,0.9812395309882747,0.018760469011725293,20,0.5,0.5,0.0,0.0,886,0.9446952595936795,0.055304740406320545,10,0.4,0.5,0.0,0.1,233,1.0,0.0,0,0,0,0,0
A22,298,1.0,0.0,0,0,0,0,0,1104,1.0,0.0,0,0,0,0,0,3918,0.7927514037774375,0.20724859622256253,322,0.39752,0.3882,0.1118,0.10248,2730,0.967032967032967,0.03296703296703297,40,0.5,0.475,0.025,0.0,1435,0.9484320557491289,0.05156794425087108,26,0.5,0.46154,0.03846,0.0,207,1.0,0.0,0,0,0,0,0
A23,309,1.0,0.0,0,0,0,0,0,926,1.0,0.0,0,0,0,0,0,6118,0.7056227525335077,0.2943772474664923,394,0.41371,0.40102,0.09898,0.08629,3294,0.892835458409229,0.1071645415907711,20,0.5,0.5,0.0,0.0,1667,0.9892021595680864,0.010797840431913617,12,0.41667,0.41667,0.08333,0.08333,220,1.0,0.0,0,0,0,0,0
A24,468,1.0,0.0,0,0,0,0,0,2150,1.0,0.0,0,0,0,0,0,5634,0.8500177493787717,0.14998225062122825,402,0.44527,0.42537,0.07463,0.05473,7080,0.9734463276836158,0.02655367231638418,58,0.44828,0.43103,0.06897,0.05172,2089,0.9985639061752034,0.0014360938247965534,4,0.5,0.25,0.25,0.0,291,1.0,0.0,0,0,0,0,0
A25,256,1.0,0.0,0,0,0,0,0,993,1.0,0.0,0,0,0,0,0,3850,0.8262337662337662,0.17376623376623376,222,0.47748,0.43694,0.06306,0.02252,2884,0.9826629680998613,0.017337031900138695,12,0.5,0.5,0.0,0.0,1120,0.9616071428571429,0.038392857142857145,10,0.4,0.5,0.0,0.1,247,1.0,0.0,0,0,0,0,0
A28,487,1.0,0.0,0,0,0,0,0,1442,1.0,0.0,0,0,0,0,0,4032,0.7596726190476191,0.24032738095238096,336,0.44345,0.39583,0.10417,0.05655,2733,0.9784120014635931,0.021587998536406878,44,0.43182,0.36364,0.13636,0.06818,957,0.9571577847439916,0.042842215256008356,14,0.5,0.42857,0.07143,0.0,192,1.0,0.0,0,0,0,0,0
C01,594,1.0,0.0,0,0,0,0,0,1721,1.0,0.0,0,0,0,0,0,4573,0.758364312267658,0.241635687732342,230,0.46957,0.41304,0.08696,0.03043,2707,0.9660140376800886,0.03398596231991134,16,0.4375,0.5,0.0,0.0625,749,0.8985313751668892,0.10146862483311081,18,0.38889,0.33333,0.16667,0.11111,235,1.0,0.0,0,0,0,0,0
C02,382,1.0,0.0,0,0,0,0,0,1118,1.0,0.0,0,0,0,0,0,4594,0.8064867218110578,0.1935132781889421,311,0.44695,0.44695,0.05145,0.05466,2880,0.95625,0.04375,26,0.5,0.5,0.0,0.0,1502,0.940745672436751,0.059254327563249,32,0.5,0.5,0.0,0.0,190,1.0,0.0,0,0,0,0,0
C03,782,1.0,0.0,0,0,0,0,0,1320,1.0,0.0,0,0,0,0,0,5667,0.810834656784895,0.189165343215105,482,0.44813,0.43983,0.06017,0.05187,6121,0.9771279202744649,0.022872079725535042,34,0.5,0.47059,0.02941,0.0,1769,0.9881288863764839,0.011871113623516111,16,0.5,0.4375,0.0625,0.0,250,1.0,0.0,0,0,0,0,0
C04,493,1.0,0.0,0,0,0,0,0,1165,1.0,0.0,0,0,0,0,0,3302,0.794367050272562,0.20563294972743792,278,0.42086,0.41727,0.08273,0.07914,2867,0.9720962678758284,0.027903732124171608,10,0.4,0.4,0.1,0.1,911,0.9407244785949506,0.059275521405049394,18,0.44444,0.5,0.0,0.05556,207,1.0,0.0,0,0,0,0,0
C05,766,1.0,0.0,0,0,0,0,0,1943,1.0,0.0,0,0,0,0,0,4193,0.7851180538993561,0.21488194610064393,298,0.40268,0.36913,0.13087,0.09732,5501,0.9683693873841119,0.031630612615888024,40,0.5,0.5,0.0,0.0,1588,0.9584382871536524,0.041561712846347604,16,0.4375,0.5,0.0,0.0625,342,1.0,0.0,0,0,0,0,0
C06,430,1.0,0.0,0,0,0,0,0,1148,1.0,0.0,0,0,0,0,0,4256,0.6997180451127819,0.30028195488721804,294,0.38776,0.38776,0.11224,0.11224,2999,0.9373124374791597,0.06268756252084028,32,0.5,0.5,0.0,0.0,1551,0.9626047711154094,0.037395228884590584,30,0.43333,0.5,0.0,0.06667,268,1.0,0.0,0,0,0,0,0
C07,393,1.0,0.0,0,0,0,0,0,1200,1.0,0.0,0,0,0,0,0,3897,0.7942006671798819,0.20579933282011803,266,0.39098,0.34586,0.15414,0.10902,2561,0.9359625146427177,0.0640374853572823,24,0.5,0.5,0.0,0.0,1080,0.9111111111111111,0.08888888888888889,40,0.5,0.475,0.025,0.0,183,1.0,0.0,0,0,0,0,0
C08,176,1.0,0.0,0,0,0,0,0,3723,1.0,0.0,0,0,0,0,0,4531,0.9044361068196866,0.0955638931803134,190,0.44737,0.40526,0.09474,0.05263,3681,0.997826677533279,0.0021733224667209996,8,0.375,0.5,0.0,0.125,1274,0.9913657770800628,0.008634222919937205,3,0.66667,0.33333,0.0,0.0,238,1.0,0.0,0,0,0,0,0
C09,304,1.0,0.0,0,0,0,0,0,1228,1.0,0.0,0,0,0,0,0,4969,0.8235057355604749,0.17649426443952507,272,0.4375,0.40809,0.09191,0.0625,3148,0.9504447268106735,0.04955527318932656,20,0.5,0.5,0.0,0.0,1035,0.9652173913043478,0.034782608695652174,10,0.4,0.4,0.1,0.1,215,1.0,0.0,0,0,0,0,0
C10,345,1.0,0.0,0,0,0,0,0,1323,1.0,0.0,0,0,0,0,0,3930,0.8061068702290076,0.19389312977099238,318,0.43396,0.4434,0.0566,0.06604,3351,0.9594150999701582,0.04058490002984184,24,0.5,0.5,0.0,0.0,1086,0.9917127071823204,0.008287292817679558,6,0.5,0.5,0.0,0.0,216,1.0,0.0,0,0,0,0,0
C11,406,1.0,0.0,0,0,0,0,0,1194,1.0,0.0,0,0,0,0,0,4616,0.7959272097053726,0.20407279029462738,356,0.39326,0.35112,0.14888,0.10674,3510,0.9393162393162393,0.06068376068376068,16,0.4375,0.375,0.125,0.0625,1267,0.9155485398579322,0.08445146014206788,30,0.5,0.5,0.0,0.0,296,1.0,0.0,0,0,0,0,0
C12,312,1.0,0.0,0,0,0,0,0,1035,1.0,0.0,0,0,0,0,0,5061,0.7836395969176052,0.2163604030823948,278,0.44245,0.44604,0.05396,0.05755,2772,0.9253246753246753,0.07467532467532467,16,0.5,0.5,0.0,0.0,1131,0.9876215738284704,0.01237842617152962,12,0.41667,0.5,0.0,0.08333,245,1.0,0.0,0,0,0,0,0
C13,453,1.0,0.0,0,0,0,0,0,1094,1.0,0.0,0,0,0,0,0,4584,0.8006108202443281,0.1993891797556719,256,0.44922,0.4375,0.0625,0.05078,3479,0.970106352400115,0.029893647599885026,24,0.5,0.5,0.0,0.0,1517,0.951878707976269,0.04812129202373105,22,0.45455,0.5,0.0,0.04545,284,1.0,0.0,0,0,0,0,0
C15,394,1.0,0.0,0,0,0,0,0,1811,1.0,0.0,0,0,0,0,0,4283,0.8568760214802709,0.14312397851972916,296,0.41554,0.39189,0.10811,0.08446,3488,0.9822247706422018,0.017775229357798166,20,0.5,0.5,0.0,0.0,1093,0.9743824336688015,0.025617566331198535,14,0.5,0.42857,0.07143,0.0,215,1.0,0.0,0,0,0,0,0
C16,807,1.0,0.0,0,0,0,0,0,1443,1.0,0.0,0,0,0,0,0,4329,0.8724878724878725,0.1275121275121275,236,0.45763,0.43644,0.06356,0.04237,3229,0.9603592443480954,0.03964075565190461,14,0.5,0.42857,0.07143,0.0,1100,0.9918181818181818,0.008181818181818182,10,0.4,0.2,0.3,0.1,243,1.0,0.0,0,0,0,0,0
C17,513,1.0,0.0,0,0,0,0,0,1411,1.0,0.0,0,0,0,0,0,5209,0.7540794778268382,0.24592052217316185,497,0.4004,0.38833,0.11066,0.1006,3327,0.9690411782386534,0.03095882176134656,40,0.475,0.425,0.075,0.025,1031,0.9233753637245393,0.07662463627546072,24,0.5,0.41667,0.08333,0.0,190,1.0,0.0,0,0,0,0,0
C18,439,1.0,0.0,0,0,0,0,0,1623,1.0,0.0,0,0,0,0,0,5016,0.7809011164274322,0.2190988835725678,394,0.45178,0.45178,0.04822,0.04822,3857,0.9502203785325383,0.04977962146746176,16,0.5,0.5,0.0,0.0,2011,0.9582297364495276,0.0417702635504724,22,0.45455,0.40909,0.09091,0.04545,195,1.0,0.0,0,0,0,0,0
C20,464,1.0,0.0,0,0,0,0,0,1490,1.0,0.0,0,0,0,0,0,4711,0.8641477393334749,0.13585226066652514,242,0.47107,0.44628,0.05372,0.02893,3484,0.9847876004592423,0.015212399540757749,8,0.5,0.5,0.0,0.0,1145,0.9362445414847161,0.06375545851528384,18,0.5,0.5,0.0,0.0,233,1.0,0.0,0,0,0,0,0
C21,332,1.0,0.0,0,0,0,0,0,1247,1.0,0.0,0,0,0,0,0,3880,0.8757731958762887,0.12422680412371134,196,0.44898,0.42857,0.07143,0.05102,2507,0.9732748304746709,0.02672516952532908,24,0.45833,0.33333,0.16667,0.04167,746,0.9584450402144772,0.04155495978552279,16,0.5,0.4375,0.0625,0.0,206,1.0,0.0,0,0,0,0,0
C22,319,1.0,0.0,0,0,0,0,0,879,1.0,0.0,0,0,0,0,0,4530,0.8770419426048565,0.12295805739514348,192,0.46875,0.45312,0.04688,0.03125,2533,0.9798657718120806,0.020134228187919462,16,0.5,0.375,0.125,0.0,864,0.9895833333333334,0.010416666666666666,6,0.33333,0.5,0.0,0.16667,192,1.0,0.0,0,0,0,0,0
C24,190,1.0,0.0,0,0,0,0,0,1942,1.0,0.0,0,0,0,0,0,4431,0.8097494922139472,0.19025050778605282,248,0.45565,0.43145,0.06855,0.04435,4569,0.9781133727292625,0.02188662727073758,24,0.5,0.45833,0.04167,0.0,2377,0.9932688262515776,0.006731173748422381,14,0.35714,0.35714,0.14286,0.14286,233,1.0,0.0,0,0,0,0,0
C26,303,1.0,0.0,0,0,0,0,0,1120,1.0,0.0,0,0,0,0,0,4424,0.7730560578661845,0.22694394213381555,294,0.43878,0.41497,0.08503,0.06122,3586,0.9827105409927496,0.01728945900725042,12,0.5,0.5,0.0,0.0,1009,0.9603567888999008,0.03964321110009911,14,0.42857,0.5,0.0,0.07143,234,1.0,0.0,0,0,0,0,0
C27,372,1.0,0.0,0,0,0,0,0,1074,1.0,0.0,0,0,0,0,0,3675,0.7948299319727891,0.20517006802721088,206,0.44175,0.40777,0.09223,0.05825,3369,0.9504303947758979,0.04956960522410211,28,0.42857,0.42857,0.07143,0.07143,929,0.8977395048439182,0.10226049515608181,24,0.45833,0.5,0.0,0.04167,224,1.0,0.0,0,0,0,0,0
C28,369,1.0,0.0,0,0,0,0,0,1412,1.0,0.0,0,0,0,0,0,5265,0.7785375118708452,0.22146248812915478,364,0.43132,0.40934,0.09066,0.06868,3224,0.9463399503722084,0.05366004962779156,42,0.5,0.45238,0.04762,0.0,1016,0.9812992125984252,0.018700787401574805,12,0.41667,0.5,0.0,0.08333,213,1.0,0.0,0,0,0,0,0
C30,344,1.0,0.0,0,0,0,0,0,2631,1.0,0.0,0,0,0,0,0,4711,0.8074718743366589,0.19252812566334113,248,0.41532,0.41532,0.08468,0.08468,2418,0.9644334160463193,0.03556658395368073,24,0.5,0.41667,0.08333,0.0,781,0.967989756722151,0.03201024327784891,8,0.5,0.375,0.125,0.0,222,1.0,0.0,0,0,0,0,0
C32,352,1.0,0.0,0,0,0,0,0,2596,1.0,0.0,0,0,0,0,0,5748,0.8150661099512874,0.1849338900487126,356,0.41854,0.41011,0.08989,0.08146,4847,0.9632762533525893,0.03672374664741077,44,0.43182,0.47727,0.02273,0.06818,1331,0.9391435011269722,0.0608564988730278,36,0.44444,0.41667,0.08333,0.05556,215,1.0,0.0,0,0,0,0,0
C34,1345,1.0,0.0,0,0,0,0,0,1689,1.0,0.0,0,0,0,0,0,4218,0.807728781412992,0.19227121858700805,202,0.45545,0.42079,0.07921,0.04455,2478,0.9717514124293786,0.02824858757062147,10,0.5,0.5,0.0,0.0,942,1.0,0.0,0,0.0,0.0,0.0,0.0,221,1.0,0.0,0,0,0,0,0
C35,502,1.0,0.0,0,0,0,0,0,1163,1.0,0.0,0,0,0,0,0,4168,0.8522072936660269,0.14779270633397312,240,0.42083,0.3875,0.1125,0.07917,3173,0.9769933816577372,0.023006618342262843,26,0.46154,0.38462,0.11538,0.03846,958,0.9968684759916493,0.003131524008350731,6,0.5,0.5,0.0,0.0,264,1.0,0.0,0,0,0,0,0
C36,439,1.0,0.0,0,0,0,0,0,1392,1.0,0.0,0,0,0,0,0,4198,0.7834683182467842,0.21653168175321583,316,0.43038,0.42089,0.07911,0.06962,2314,0.956352636127917,0.04364736387208297,28,0.5,0.5,0.0,0.0,910,0.9802197802197802,0.01978021978021978,9,0.55556,0.44444,0.0,0.0,233,1.0,0.0,0,0,0,0,0
C38,426,1.0,0.0,0,0,0,0,0,1116,1.0,0.0,0,0,0,0,0,3834,0.8333333333333334,0.16666666666666666,258,0.46124,0.45349,0.04651,0.03876,3535,0.9765205091937765,0.02347949080622348,36,0.44444,0.44444,0.05556,0.05556,1276,0.9921630094043887,0.007836990595611285,13,0.53846,0.30769,0.15385,0.0,222,1.0,0.0,0,0,0,0,0
C39,1736,1.0,0.0,0,0,0,0,0,2483,1.0,0.0,0,0,0,0,0,6151,0.8437652414241587,0.15623475857584132,244,0.46311,0.45082,0.04918,0.03689,3294,0.9629629629629629,0.037037037037037035,24,0.375,0.45833,0.04167,0.125,1547,0.9017453135100194,0.0982546864899806,33,0.48485,0.39394,0.09091,0.0303,252,1.0,0.0,0,0,0,0,0
C40,387,1.0,0.0,0,0,0,0,0,2518,1.0,0.0,0,0,0,0,0,4780,0.8489539748953975,0.15104602510460252,268,0.48134,0.45896,0.04104,0.01866,3041,0.9223939493587635,0.07760605064123643,24,0.5,0.45833,0.04167,0.0,1406,0.9978662873399715,0.0021337126600284497,2,0.5,0.5,0.0,0.0,247,1.0,0.0,0,0,0,0,0
C41,499,1.0,0.0,0,0,0,0,0,1469,1.0,0.0,0,0,0,0,0,4309,0.7892782548155024,0.21072174518449757,288,0.43056,0.375,0.125,0.06944,3070,0.9543973941368078,0.04560260586319218,16,0.4375,0.5,0.0,0.0625,1484,0.9892183288409704,0.01078167115902965,12,0.5,0.5,0.0,0.0,272,1.0,0.0,0,0,0,0,0
C47,452,1.0,0.0,0,0,0,0,0,1088,1.0,0.0,0,0,0,0,0,4037,0.8015853356452811,0.19841466435471886,244,0.40574,0.38525,0.11475,0.09426,2820,0.9617021276595744,0.03829787234042553,14,0.5,0.5,0.0,0.0,1343,0.9516008935219658,0.04839910647803425,46,0.47826,0.45652,0.04348,0.02174,238,1.0,0.0,0,0,0,0,0
C48,639,1.0,0.0,0,0,0,0,0,1693,1.0,0.0,0,0,0,0,0,5120,0.7529296875,0.2470703125,436,0.43349,0.41284,0.08716,0.06651,4348,0.9590616375344986,0.04093836246550138,32,0.46875,0.46875,0.03125,0.03125,923,0.9414951245937161,0.05850487540628386,14,0.5,0.5,0.0,0.0,311,1.0,0.0,0,0,0,0,0
