playerID,1-4-value,1-4-time,1-1-value,1-1-time,2-2-value,2-2-time,3-1-value,3-1-time,3-5-value,3-5-time,3-6-value,3-6-time,3-7-value,3-7-time,3-8-value,3-8-time,3-9-value,3-9-time,4-1-value,4-1-time,4-2-value,4-2-time,4-5-value,4-5-time,4-6-value,4-6-time,4-7-value,4-7-time,5-1-value,5-1-time,5-4-value,5-4-time,5-5-value,5-5-time,5-7-value,5-7-time,5-6-value,5-6-time,5-8-value,5-8-time,5-22-value,5-22-time,5-32-value,5-32-time,5-31-value,5-31-time,5-23-value,5-23-time,5-25-value,5-25-time,5-26-value,5-26-time,5-27-value,5-27-time,5-28-value,5-28-time,5-34-value,5-34-time,5-36-value,5-36-time,5-37-value,5-37-time,5-38-value,5-38-time,5-39-value,5-39-time,5-40-value,5-40-time,6-1-value,6-1-time,6-2-value,6-2-time,6-3-value,6-3-time,5-35-value,5-35-time,3-3-value,3-3-time,3-11-value,3-11-time,3-13-value,3-13-time,3-16-value,3-16-time,3-18-value,3-18-time,6-6-value,6-6-time,5-29-value,5-29-time,5-30-value,5-30-time,5-9-value,5-9-time,5-11-value,5-11-time,5-18-value,5-18-time,5-19-value,5-19-time,5-20-value,5-20-time,3-17-value,3-17-time,5-16-value,5-16-time,6-7-value,6-7-time,6-8-value,6-8-time,6-9-value,6-9-time,5-24-value,5-24-time,5-13-value,5-13-time,5-15-value,5-15-time
A01,1,5.219,1,2.289,-1,5.768,-1,3.133,1.0,3.263,-1,4.167,1,5.129,1.0,4.949,1.0,4.693,1,6.932,-1.0,4.22,-1,8.154,-1.0,4.171,1.0,5.129,1,3.033,0,14.77,-1.0,5.02,-1.0,3.887,-1.0,4.92,-1.0,4.819,0.0,5.564,-1.0,5.053,-1.0,5.062,-1.0,6.11,-1.0,3.975,0.0,6.119,-1.0,6.562,0.0,6.571,-1.0,6.344,0,4.265,0,10.307,0,12.95,0,5.565,1,5.397,1,6.688,1,6.036,0,6.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,1,8.841,1,3.912,-1,5.604,-1,5.246,-1.0,4.374,1,4.339,1,4.352,1.0,4.5,1.0,5.436,1,4.615,1.0,6.339,-1,6.529,-1.0,4.509,-1.0,4.059,1,4.033,1,13.536,1.0,3.731,,,1.0,4.754,,,,,,,,,,,,,,,,,,,,,0,9.052,1,11.352,1,6.615,1,6.151,1,5.257,1,4.739,1,6.41,1,6.85,0.0,11.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04,-1,8.74,1,9.62,1,9.176,1,3.749,,,-1,6.468,1,5.343,1.0,4.989,1.0,4.954,1,4.763,1.0,7.247,-1,10.794,-1.0,5.153,1.0,8.764,1,4.166,1,4.787,1.0,3.232,,,1.0,4.365,,,,,,,,,,,,,,,,,,,,,0,7.854,1,8.752,1,5.231,1,3.432,1,4.432,1,3.954,1,3.108,1,6.569,1.0,5.417,1.0,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,-1,5.108,-1,10.165,-1,6.878,-1,12.351,-1.0,3.646,1,3.72,1,6.975,1.0,4.601,1.0,6.902,1,4.401,1.0,3.226,-1,4.443,-1.0,4.499,1.0,4.009,1,3.578,0,3.709,1.0,3.543,,,1.0,5.753,,,,,,,,,,,,,,,,,,,,,1,3.988,1,6.53,1,6.308,1,4.099,1,4.143,1,5.532,1,3.332,0,7.108,1.0,8.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06,-1,17.992,1,6.442,-1,6.225,1,4.118,,,-1,4.044,1,3.998,-1.0,4.598,,,1,14.95,-1.0,4.112,-1,5.238,0.0,5.651,-1.0,3.454,1,5.736,1,4.687,1.0,3.654,,,1.0,7.785,,,,,,,,,,,,,,,,,,,,,0,5.477,0,6.756,0,7.097,0,4.598,1,6.053,-1,5.236,1,3.771,0,7.634,0.0,5.397,-1.0,3.446,1.0,4.752,1.0,4.948,-1.0,4.476,-1.0,3.518,1.0,4.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07,1,6.554,1,6.911,1,7.562,1,5.671,,,1,7.159,1,8.801,-1.0,6.142,,,1,4.809,1.0,3.911,-1,13.147,-1.0,5.381,1.0,4.592,-1,11.87,1,13.194,1.0,4.631,,,1.0,7.854,,,,,,,,,,,,,,,,,,,,,0,6.86,0,12.272,1,15.09,-1,7.412,0,5.098,1,8.927,-1,5.259,1,7.964,-1.0,9.829,1.0,5.668,1.0,7.068,1.0,6.169,-1.0,5.674,-1.0,4.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09,-1,7.084,1,4.666,-1,8.722,-1,3.731,-1.0,2.77,-1,3.776,-1,4.102,,,,,1,4.715,1.0,3.826,-1,5.34,0.0,4.216,-1.0,7.466,-1,3.787,1,7.32,-1.0,4.053,1.0,3.877,-1.0,7.216,-1.0,5.577,-1.0,5.732,,,-1.0,5.221,-1.0,4.397,-1.0,4.132,0.0,3.828,0.0,6.745,0.0,6.139,-1.0,5.678,0,4.463,0,8.418,1,12.694,0,7.776,0,5.598,1,7.687,-1,5.181,0,10.002,,,,,1.0,5.561,1.0,5.192,-1.0,6.235,-1.0,4.039,,,0.0,4.331,0.0,8.128,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,1,11.687,1,5.02,1,7.609,1,7.871,,,-1,5.662,1,6.004,1.0,5.152,1.0,4.989,1,16.876,1.0,4.546,-1,10.899,0.0,22.394,1.0,11.199,1,10.004,0,7.208,-1.0,4.562,-1.0,6.231,-1.0,14.869,-1.0,9.217,0.0,9.649,-1.0,8.145,-1.0,11.371,-1.0,6.257,0.0,5.651,0.0,10.018,0.0,5.591,0.0,7.667,0.0,15.739,-1,16.781,0,9.954,-1,9.868,0,6.904,1,8.998,1,7.933,-1,6.752,0,10.032,,,1.0,3.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A12,1,4.422,1,4.576,-1,6.478,1,10.583,,,1,4.298,1,5.25,1.0,4.274,1.0,5.12,1,5.267,-1.0,4.992,-1,8.47,-1.0,10.786,1.0,4.816,1,9.409,1,3.476,1.0,4.098,,,-1.0,7.771,0.0,7.778,,,,,,,,,,,,,,,,,,,0,10.407,1,7.373,0,14.79,1,3.308,1,5.07,-1,7.108,1,3.753,1,7.162,0.0,9.072,-1.0,2.468,,,,,,,,,1.0,12.859,,,,,1.0,4.897,1.0,3.476,,,,,,,,,,,,,,,,,,,,,,
A17,1,6.02,-1,4.909,-1,6.488,1,3.133,,,-1,5.161,1,4.195,1.0,4.073,1.0,4.943,1,4.474,1.0,3.309,-1,5.73,-1.0,4.262,1.0,4.708,1,4.72,0,5.92,1.0,3.953,,,-1.0,3.973,0.0,5.434,,,,,,,,,,,,,0.0,4.732,0.0,5.098,0.0,5.341,-1,4.542,1,6.66,0,8.341,1,4.432,0,7.674,1,6.573,1,4.887,1,9.715,,,1.0,3.038,,,,,,,,,,,,,,,0.0,5.887,,,-1.0,4.086,,,,,,,,,,,,,,,,,,,,
A20,1,4.07,1,3.827,1,6.963,-1,8.564,-1.0,4.614,1,4.013,1,4.738,-1.0,5.422,,,-1,7.268,,,-1,8.31,0.0,4.144,-1.0,6.275,1,4.389,-1,4.763,,,,,,,-1.0,6.53,-1.0,4.511,,,-1.0,3.964,-1.0,6.254,-1.0,3.851,0.0,4.464,-1.0,6.279,-1.0,5.147,0.0,6.863,0,7.6,0,7.687,0,7.298,0,4.904,1,8.752,1,3.708,1,3.998,0,7.525,,,,,1.0,5.331,1.0,4.839,-1.0,5.281,-1.0,3.932,,,0.0,3.326,-1.0,3.793,,,,,,,,,,,,,,,,,,,,,,,,,,
A25,-1,5.534,1,4.643,-1,4.634,-1,4.167,-1.0,2.838,1,6.866,-1,7.035,,,,,-1,15.03,,,-1,4.884,-1.0,4.622,1.0,12.312,1,4.289,0,2.977,-1.0,11.819,-1.0,3.487,-1.0,8.3,-1.0,25.422,-1.0,10.751,,,0.0,4.86,-1.0,4.164,0.0,3.545,1.0,6.504,-1.0,7.567,0.0,6.041,-1.0,7.805,-1,6.073,0,7.388,0,7.341,1,15.349,0,5.524,-1,8.708,-1,3.964,0,6.108,,,,,1.0,6.387,1.0,7.808,-1.0,7.785,-1.0,3.428,1.0,4.154,0.0,3.845,1.0,6.575,,,,,,,,,,,,,,,,,,,,,,,,,,
A28,1,4.4,1,9.109,1,13.058,1,2.524,,,1,5.706,1,8.309,1.0,16.3,1.0,4.548,1,4.972,1.0,3.181,-1,9.126,-1.0,6.902,1.0,6.265,1,5.607,0,8.84,1.0,2.76,,,1.0,7.496,,,,,,,,,,,,,,,,,,,,,-1,4.198,0,11.124,1,5.987,-1,4.998,0,8.474,1,3.666,-1,3.673,1,9.91,0.0,9.429,1.0,2.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01,1,11.065,1,4.178,-1,13.659,1,4.497,,,-1,4.302,-1,5.976,,,,,1,4.812,1.0,3.809,-1,8.49,-1.0,4.093,1.0,6.817,1,7.572,1,7.963,1.0,3.584,,,-1.0,5.479,0.0,5.408,,,,,,,,,,,,,0.0,6.42,0.0,5.894,0.0,6.6,-1,4.075,0,7.541,0,10.153,0,5.803,0,5.409,-1,7.109,-1,4.667,1,7.802,,,-1.0,3.89,1.0,5.028,-1.0,4.921,-1.0,5.299,-1.0,3.584,1.0,3.489,,,,,0.0,7.542,,,0.0,6.818,-1.0,5.848,0.0,4.979,,,,,,,,,,,,,,,,
C03,-1,5.244,1,4.78,-1,7.59,1,2.729,,,1,4.448,1,9.203,-1.0,5.767,,,1,4.502,1.0,3.318,-1,5.555,-1.0,11.658,1.0,5.041,-1,6.441,0,7.953,1.0,13.25,,,1.0,17.413,,,,,,,,,,,,,,,,,,,,,0,5.775,0,10.892,0,18.06,1,4.936,1,9.041,1,11.204,1,7.846,1,7.378,0.0,13.894,1.0,2.805,1.0,14.169,1.0,5.41,1.0,5.696,1.0,4.224,,,,,,,,,,,,,,,,,1.0,11.687,,,,,,,,,,,,,,
C04,1,7.154,1,4.618,-1,12.19,-1,3.265,1.0,6.798,1,4.693,1,3.449,1.0,5.221,1.0,8.231,1,3.701,1.0,3.176,1,5.108,,,,,1,4.011,0,5.474,1.0,5.806,,,-1.0,10.583,0.0,8.829,,,,,,,,,,,,,0.0,4.454,0.0,5.386,0.0,13.783,0,5.118,1,11.533,1,10.195,0,7.3,0,7.175,-1,4.621,1,3.664,1,6.699,,,,,,,,,,,,,-1.0,7.442,,,,,-1.0,17.872,,,,,,,,,,,0.0,4.43,-1.0,3.465,0.0,4.507,1.0,5.355,,,,,,
C05,1,7.821,1,3.955,-1,5.141,1,4.056,,,1,3.993,1,3.517,1.0,4.622,1.0,4.57,1,3.854,1.0,6.237,1,7.057,,,,,1,4.654,1,7.073,1.0,4.365,,,1.0,4.964,,,,,,,,,,,,,,,,,,,,,1,4.507,0,10.719,1,5.851,0,6.132,1,13.162,1,3.904,-1,3.757,0,8.918,-1.0,7.641,1.0,2.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C07,-1,5.931,1,4.379,-1,5.262,-1,4.789,-1.0,3.633,-1,5.584,1,5.057,1.0,4.919,1.0,5.69,1,7.185,1.0,8.914,1,15.236,,,,,-1,6.278,1,6.103,-1.0,3.41,1.0,5.398,-1.0,4.408,0.0,8.793,,,,,,,,,,,,,,,,,,,0,4.187,1,9.684,0,8.914,0,3.775,1,4.544,1,7.094,1,3.965,1,8.819,0.0,6.175,,,,,,,,,,,,,,,,,1.0,5.235,1.0,4.178,,,,,,,,,,,,,,,,,,,,,,
C08,-1,4.844,1,3.732,-1,5.291,-1,4.026,-1.0,3.175,1,5.262,1,4.814,1.0,4.783,1.0,4.939,1,4.383,1.0,3.373,1,7.578,,,,,1,10.884,1,3.498,1.0,3.765,,,-1.0,7.419,-1.0,4.709,0.0,7.531,0.0,6.541,0.0,4.453,1.0,5.297,,,,,0.0,5.953,0.0,6.708,0.0,8.841,0,5.663,1,8.831,0,7.974,0,4.113,1,4.998,-1,4.42,1,1.757,1,5.87,,,,,,,,,,,,,-1.0,2.042,,,,,,,,,,,,,,,,,,,-1.0,4.331,0.0,3.864,1.0,11.107,-1.0,6.741,,,,
C09,1,10.707,1,3.663,-1,6.727,-1,7.124,1.0,5.238,1,6.454,-1,5.048,,,,,1,4.417,1.0,12.053,1,5.98,,,,,1,3.309,0,4.319,1.0,2.966,,,-1.0,6.496,0.0,4.419,,,,,,,,,,,,,1.0,5.697,,,1.0,12.96,0,8.003,1,11.484,1,9.485,1,6.971,1,5.469,-1,5.553,-1,6.866,1,17.241,,,,,1.0,5.178,1.0,4.754,1.0,4.692,-1.0,4.335,1.0,3.844,,,,,0.0,7.399,,,0.0,3.72,0.0,5.086,,,-1.0,8.582,,,,,,,,,,,,,,
C10,-1,6.59,1,9.267,-1,5.117,-1,4.551,-1.0,3.062,1,2.116,1,4.741,1.0,4.973,1.0,5.344,1,4.92,1.0,5.091,-1,5.604,-1.0,5.282,1.0,6.992,1,5.531,1,3.445,1.0,4.876,,,-1.0,4.569,0.0,5.932,,,,,,,,,,,,,,,,,,,-1,5.93,0,6.622,0,10.746,0,6.308,1,9.298,1,3.91,1,4.694,1,6.466,0.0,6.268,,,,,,,,,,,,,,,,,1.0,4.838,1.0,3.263,,,,,,,,,,,,,,,,,,,,,,
C11,1,25.61,1,3.27,-1,5.242,1,4.147,,,-1,4.425,1,6.682,-1.0,7.783,,,-1,4.757,,,-1,8.796,-1.0,6.616,1.0,6.562,-1,4.543,-1,5.997,,,,,,,0.0,6.708,,,,,,,,,,,,,0.0,4.832,0.0,5.797,0.0,6.55,-1,4.342,0,7.531,0,12.384,0,8.709,0,6.997,-1,5.688,1,4.579,1,7.425,,,1.0,3.615,-1.0,6.035,1.0,5.56,-1.0,6.97,-1.0,3.737,1.0,3.71,,,,,1.0,7.054,-1.0,3.31,0.0,4.588,0.0,14.903,,,,,,,,,,,,,,,0.0,4.953,-1.0,4.398
C12,-1,5.756,1,5.115,-1,7.719,-1,4.471,-1.0,3.15,1,8.042,-1,7.211,,,,,1,5.862,1.0,3.847,-1,7.742,-1.0,5.209,-1.0,5.402,-1,5.286,-1,3.642,,,,,,,0.0,7.708,,,,,,,,,,,,,-1.0,4.665,0.0,4.93,0.0,8.44,-1,4.631,0,9.297,0,6.72,0,4.72,1,8.619,-1,5.489,-1,4.264,0,7.11,,,,,1.0,6.282,-1.0,7.748,-1.0,4.062,-1.0,3.681,1.0,12.172,,,,,0.0,7.665,,,0.0,3.653,-1.0,10.018,0.0,6.063,,,,,,,,,,,,,,,,
C15,1,15.86,1,4.086,-1,4.923,-1,5.296,-1.0,9.611,1,5.984,1,5.85,1.0,17.746,1.0,5.25,1,4.287,1.0,3.062,-1,5.699,-1.0,3.88,-1.0,7.927,1,5.242,-1,6.486,,,,,,,-1.0,4.33,0.0,13.95,0.0,3.531,0.0,5.276,-1.0,4.153,0.0,4.487,1.0,3.898,0.0,6.996,-1.0,7.393,-1.0,9.8,0,4.33,0,22.702,1,7.286,1,6.371,1,11.084,-1,12.84,1,5.334,1,6.659,,,,,,,,,,,,,1.0,3.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C17,1,5.91,-1,3.576,-1,6.07,1,2.872,,,1,4.532,-1,5.768,,,,,-1,5.042,,,1,5.492,,,,,-1,4.776,0,3.743,1.0,3.148,,,-1.0,4.52,0.0,4.009,,,,,,,,,,,,,-1.0,5.64,-1.0,6.288,0.0,7.764,0,8.848,0,7.93,0,10.374,1,5.297,1,5.631,1,5.909,1,3.644,1,7.456,,,1.0,2.705,1.0,4.888,1.0,4.573,1.0,4.729,1.0,5.721,,,,,,,1.0,5.487,,,0.0,5.874,0.0,5.587,,,1.0,11.397,,,,,,,,,,,,,-1.0,3.932
C18,-1,6.015,-1,4.984,-1,4.87,-1,10.404,-1.0,3.286,1,3.595,-1,8.791,,,,,1,5.05,1.0,2.965,-1,6.018,0.0,8.307,1.0,7.161,1,4.353,-1,5.175,,,,,,,-1.0,5.497,-1.0,4.645,,,-1.0,4.164,-1.0,3.485,-1.0,3.712,0.0,4.053,-1.0,14.712,-1.0,9.439,0.0,6.253,-1,3.721,0,3.517,0,7.464,-1,5.234,0,3.709,-1,3.779,-1,3.512,0,5.548,,,,,1.0,5.648,-1.0,4.8,-1.0,4.682,-1.0,3.667,-1.0,4.62,0.0,2.969,-1.0,3.599,,,,,,,,,,,,,,,-1.0,3.489,0.0,6.996,0.0,7.573,,,,,,
C20,-1,7.887,1,5.799,-1,5.695,1,8.336,,,1,4.081,1,4.716,1.0,5.052,1.0,4.952,1,4.75,1.0,5.519,-1,5.551,-1.0,4.37,-1.0,6.341,-1,4.665,0,5.32,-1.0,7.817,1.0,3.11,-1.0,4.186,-1.0,4.442,0.0,4.62,0.0,6.141,0.0,4.199,-1.0,3.976,0.0,2.617,1.0,3.778,-1.0,6.552,-1.0,5.498,0.0,6.862,0,5.52,0,8.285,0,11.701,1,11.113,1,5.232,1,6.288,-1,4.691,1,5.806,,,-1.0,4.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21,-1,5.603,1,6.378,-1,5.595,-1,8.511,1.0,3.169,1,4.94,1,6.816,1.0,5.78,1.0,5.179,1,5.23,1.0,4.38,-1,6.584,-1.0,4.762,-1.0,4.243,-1,5.121,0,5.751,1.0,3.165,,,-1.0,4.499,-1.0,8.662,0.0,4.808,-1.0,3.399,0.0,5.175,-1.0,7.702,0.0,3.448,0.0,4.431,1.0,5.493,,,0.0,8.812,0,4.941,0,9.914,0,10.619,0,5.288,0,4.125,-1,4.178,-1,5.067,1,7.075,,,,,,,,,,,,,1.0,4.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C24,1,11.681,-1,4.187,1,7.074,1,21.473,,,1,4.79,1,3.065,1.0,3.936,1.0,5.775,1,3.18,1.0,7.901,-1,5.725,-1.0,4.184,-1.0,4.265,1,5.388,0,4.498,1.0,6.719,,,1.0,10.273,,,,,,,,,,,,,,,,,,,,,0,18.635,0,7.702,1,17.038,0,4.144,1,8.334,-1,11.927,-1,1.728,1,13.571,0.0,13.272,1.0,3.409,,,,,,,,,1.0,12.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C26,-1,6.684,1,3.842,-1,5.62,-1,7.613,-1.0,2.738,-1,3.616,1,6.133,-1.0,4.561,,,1,4.499,1.0,3.604,-1,5.262,-1.0,5.403,-1.0,5.461,1,7.897,-1,3.455,,,,,,,-1.0,5.408,0.0,6.237,0.0,5.691,-1.0,4.554,-1.0,3.576,-1.0,2.753,0.0,3.788,0.0,5.585,-1.0,5.374,0.0,7.474,1,3.643,0,10.007,0,6.031,0,2.798,1,4.764,1,4.355,-1,4.055,0,6.602,,,,,1.0,5.252,-1.0,5.397,-1.0,6.714,-1.0,4.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27,1,7.73,1,5.801,1,6.238,1,7.454,,,1,8.7,1,4.492,1.0,7.152,1.0,6.477,1,6.79,1.0,5.888,-1,5.566,-1.0,5.556,-1.0,7.414,-1,15.305,0,4.288,-1.0,4.587,1.0,2.607,-1.0,5.344,-1.0,11.039,-1.0,7.497,,,0.0,8.707,-1.0,3.687,0.0,5.031,1.0,10.84,0.0,6.752,-1.0,4.942,-1.0,6.775,-1,9.502,1,11.306,1,8.468,0,4.032,0,4.117,1,3.976,-1,5.873,1,6.796,,,1.0,6.618,,,,,,,,,,,0.0,5.529,-1.0,7.386,,,,,,,,,,,,,,,,,,,,,,,,,,
C30,1,8.108,1,5.09,1,7.239,1,4.319,,,-1,4.425,-1,5.237,,,,,1,4.285,1.0,2.898,-1,5.16,-1.0,4.133,1.0,8.5,1,4.353,-1,4.397,,,,,,,0.0,6.686,,,,,,,,,,,,,0.0,7.13,0.0,6.441,-1.0,10.196,0,7.107,0,6.997,1,7.752,0,3.405,0,7.685,1,4.53,-1,4.002,0,7.052,,,-1.0,9.338,1.0,8.758,-1.0,6.26,-1.0,4.946,-1.0,5.092,,,,,,,0.0,9.274,,,0.0,4.165,-1.0,5.194,-1.0,5.345,,,,,,,,,,,,,,,,
C35,1,5.156,1,3.931,-1,8.154,1,6.18,,,1,5.472,1,5.994,1.0,4.85,1.0,4.917,1,6.68,1.0,4.713,1,8.313,,,,,1,3.837,1,6.976,-1.0,3.331,1.0,3.665,-1.0,6.875,-1.0,5.13,0.0,5.51,-1.0,3.465,-1.0,4.564,-1.0,3.828,0.0,2.848,1.0,6.086,0.0,6.308,0.0,6.236,-1.0,6.146,0,3.921,0,5.988,0,7.677,0,3.666,0,7.908,1,5.131,1,3.71,1,5.508,,,1.0,4.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C36,1,3.354,1,5.917,-1,5.085,1,3.86,,,1,4.663,1,3.933,1.0,4.668,1.0,4.92,1,4.06,1.0,8.542,-1,5.959,-1.0,7.929,1.0,4.184,1,3.306,1,4.132,1.0,3.443,,,1.0,6.54,,,,,,,,,,,,,,,,,,,,,0,3.62,0,5.754,0,5.726,0,5.176,1,5.817,1,3.841,1,3.082,1,6.522,0.0,5.588,1.0,4.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C38,-1,5.31,1,4.485,-1,5.71,-1,3.985,-1.0,2.665,1,5.007,1,4.191,1.0,4.541,1.0,4.825,1,3.971,1.0,3.16,-1,4.989,-1.0,3.96,-1.0,5.819,1,4.076,0,4.099,-1.0,4.442,-1.0,3.855,-1.0,9.884,0.0,6.63,,,,,,,,,,,,,,,,,,,0,3.765,0,3.709,0,3.153,0,3.954,0,4.399,1,5.465,-1,5.948,1,7.564,0.0,11.15,,,,,,,,,,,,,,,,,1.0,9.308,1.0,3.564,,,,,,,,,,,,,,,,,,,,,,
C41,-1,5.022,-1,7.485,1,9.921,-1,2.996,-1.0,2.856,-1,7.72,1,4.999,1.0,4.097,1.0,4.638,1,4.277,1.0,2.853,-1,5.769,-1.0,4.212,1.0,6.669,1,4.122,-1,5.771,,,,,,,0.0,5.968,,,,,,,,,,,,,,,,,,,0,7.758,0,12.85,0,11.564,0,3.821,0,8.007,-1,4.157,-1,3.932,0,9.479,0.0,9.8,,,,,,,,,,,-1.0,3.599,,,,,1.0,6.569,1.0,5.286,,,,,,,,,,,-1.0,3.754,1.0,5.818,0.0,5.952,,,,,,
C47,-1,5.951,1,5.33,-1,6.373,-1,6.521,1.0,2.903,-1,3.869,1,5.065,1.0,5.11,1.0,5.027,1,4.102,1.0,2.988,-1,7.285,-1.0,5.024,1.0,8.456,1,3.877,0,4.785,-1.0,16.625,-1.0,4.564,-1.0,4.671,-1.0,6.703,0.0,5.087,0.0,3.297,0.0,5.253,1.0,3.676,,,,,0.0,3.3,-1.0,5.83,0.0,6.33,0,3.764,0,10.606,0,5.398,-1,5.16,0,4.517,-1,3.531,1,3.308,0,9.521,,,,,,,,,,,,,-1.0,3.109,,,,,,,,,,,,,,,,,,,-1.0,3.667,-1.0,6.728,0.0,4.33,-1.0,3.019,,,,
